external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-SELL-1532-2024-07-30-101,2024-07-30,martingale,黃標,TW,1532,勤美,SELL,1736,42.90,0.00
Y-SELL-1733-2024-07-30-102,2024-07-30,martingale,黃標,TW,1733,五鼎,SELL,2377,31.80,4.16
Y-BUY-6443-2024-07-30-103-0,2024-07-30,martingale,黃標,TW,6443,元晶,BUY,3053,27.25,8.32
Y-BUY-2359-2024-08-05-104-0,2024-08-05,martingale,黃標,TW,2359,所羅門,BUY,554,150.00,4.16
Y-BUY-3029-2024-08-05-105-0,2024-08-05,martingale,黃標,TW,3029,零壹,BUY,917,90.70,12.48
Y-BUY-4540-2024-08-05-106-0,2024-08-05,martingale,黃標,TW,4540,全球傳動,BUY,2450,33.95,8.32
Y-BUY-6719-2024-08-06-107-0,2024-08-06,martingale,黃標,TW,6719,力智,BUY,357,232.50,12.48
Y-SELL-1733-2024-08-06-108,2024-08-06,martingale,黃標,TW,1733,五鼎,SELL,2418,27.70,0.00
Y-BUY-6443-2024-08-06-109-0,2024-08-06,martingale,黃標,TW,6443,元晶,BUY,3423,24.30,12.48
Y-BUY-8349-2024-08-06-110-0,2024-08-06,martingale,黃標,TW,8349,恒耀,BUY,1171,71.00,4.16
Y-SELL-4540-2024-08-21-111,2024-08-21,martingale,黃標,TW,4540,全球傳動,SELL,2236,44.90,4.16
Y-SELL-4540-2024-08-27-112,2024-08-27,martingale,黃標,TW,4540,全球傳動,SELL,2450,43.10,0.00
Y-SELL-2359-2024-08-27-113,2024-08-27,martingale,黃標,TW,2359,所羅門,SELL,554,155.50,0.00
Y-BUY-8349-2024-08-27-114-0,2024-08-27,martingale,黃標,TW,8349,恒耀,BUY,1118,74.40,8.32
Y-SELL-6719-2024-08-27-115,2024-08-27,martingale,黃標,TW,6719,力智,SELL,288,261.00,8.32
Y-BUY-5236-2024-08-27-116-0,2024-08-27,martingale,黃標,TW,5236,凌陽創新,BUY,496,167.50,4.16
Y-DIV-8349-2024-09-05-117,2024-09-05,martingale,黃標,TW,8349,恒耀,DIVIDEND,2289,0.99,
Y-BUY-5236-2024-09-06-118-0,2024-09-06,martingale,黃標,TW,5236,凌陽創新,BUY,485,171.50,8.32
Y-SELL-6719-2024-09-09-119,2024-09-09,martingale,黃標,TW,6719,力智,SELL,633,230.50,0.00
Y-SELL-6443-2024-09-09-120,2024-09-09,martingale,黃標,TW,6443,元晶,SELL,9134,21.00,0.00
Y-BUY-1727-2024-09-13-121-0,2024-09-13,martingale,黃標,TW,1727,中華化,BUY,2383,34.90,4.16
Y-BUY-6548-2024-09-13-122-0,2024-09-13,martingale,黃標,TW,6548,長科*,BUY,2206,37.70,4.16
Y-BUY-6548-2024-09-20-123-0,2024-09-20,martingale,黃標,TW,6548,長科*,BUY,2101,39.60,8.32
Y-BUY-9958-2024-09-23-124-0,2024-09-23,martingale,黃標,TW,9958,世紀鋼,BUY,335,248.00,4.16
